2026-08-11 02:29:00,940 [canton-env-ec-26] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::12209834d168... authenticated new token with expiry 2026-08-10T19:29:00.939572Z
2026-08-11 02:29:03,102 [canton-env-ec-36] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::12206722ea2b... authenticated new token with expiry 2026-08-10T19:29:03.102278Z
2026-08-11 02:29:20,707 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2026-08-11 02:29:20,708 [canton-env-ec-98] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 02:29:20,772 [canton-env-ec-37] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::12209834d168... subscribes from counter=36
2026-08-11 02:29:20,921 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2026-08-11 02:29:20,922 [canton-env-ec-26] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 02:29:20,984 [canton-env-ec-99] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::12209834d168... subscribes from counter=35
2026-08-11 02:29:23,082 [canton-env-ec-111] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::12209834d168 - The sequencer subscription has been terminated by the server.
2026-08-11 02:29:23,082 [canton-env-ec-26] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::12209834d168 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 02:29:23,147 [canton-env-ec-86] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::12206722ea2b... subscribes from counter=55
2026-08-11 03:04:20,445 [daml.index.db.threadpool.connection.indexer-3] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-10T19:00:00Z)
2026-08-11 03:04:20,446 [daml.index.db.threadpool.connection.indexer-3] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-10T19:00:00Z)
2026-08-11 03:28:40,745 [canton-env-ec-86] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::12209834d168... authenticated new token with expiry 2026-08-10T20:28:40.745161Z
2026-08-11 03:28:40,967 [canton-env-ec-102] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::12209834d168... authenticated new token with expiry 2026-08-10T20:28:40.967534Z
2026-08-11 03:28:43,120 [canton-env-ec-111] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::12206722ea2b... authenticated new token with expiry 2026-08-10T20:28:43.120740Z
2026-08-11 03:29:00,723 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2026-08-11 03:29:00,724 [canton-env-ec-111] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 03:29:00,780 [canton-env-ec-82] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::12209834d168... subscribes from counter=36
2026-08-11 03:29:00,944 [canton-env-ec-36] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2026-08-11 03:29:00,945 [canton-env-ec-86] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 03:29:01,007 [canton-env-ec-102] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::12209834d168... subscribes from counter=35
2026-08-11 03:29:03,109 [canton-env-ec-31] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::12209834d168 - The sequencer subscription has been terminated by the server.
2026-08-11 03:29:03,110 [canton-env-ec-26] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::12209834d168 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 03:29:03,175 [canton-env-ec-37] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::12206722ea2b... subscribes from counter=55
2026-08-11 04:04:20,444 [daml.index.db.threadpool.connection.indexer-13] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-10T20:00:00Z)
2026-08-11 04:04:20,446 [daml.index.db.threadpool.connection.indexer-13] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-10T20:00:00Z)
2026-08-11 04:28:20,765 [canton-env-ec-31] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::12209834d168... authenticated new token with expiry 2026-08-10T21:28:20.765244Z
2026-08-11 04:28:20,986 [canton-env-ec-89] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::12209834d168... authenticated new token with expiry 2026-08-10T21:28:20.986615Z
2026-08-11 04:28:23,140 [canton-env-ec-99] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::12206722ea2b... authenticated new token with expiry 2026-08-10T21:28:23.140843Z
2026-08-11 04:28:40,758 [canton-env-ec-86] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2026-08-11 04:28:40,758 [canton-env-ec-98] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 04:28:40,816 [canton-env-ec-36] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::12209834d168... subscribes from counter=36
2026-08-11 04:28:40,974 [canton-env-ec-31] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2026-08-11 04:28:40,974 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 04:28:41,036 [canton-env-ec-37] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::12209834d168... subscribes from counter=35
2026-08-11 04:28:43,133 [canton-env-ec-26] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::12209834d168 - The sequencer subscription has been terminated by the server.
2026-08-11 04:28:43,133 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::12209834d168 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 04:28:43,197 [canton-env-ec-31] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::12206722ea2b... subscribes from counter=55
2026-08-11 05:04:20,443 [daml.index.db.threadpool.connection.indexer-6] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-10T21:00:00Z)
2026-08-11 05:04:20,444 [daml.index.db.threadpool.connection.indexer-6] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-10T21:00:00Z)
2026-08-11 05:28:00,794 [canton-env-ec-26] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::12209834d168... authenticated new token with expiry 2026-08-10T22:28:00.794473Z
2026-08-11 05:28:01,018 [canton-env-ec-26] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::12209834d168... authenticated new token with expiry 2026-08-10T22:28:01.018677Z
2026-08-11 05:28:03,171 [canton-env-ec-83] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::12206722ea2b... authenticated new token with expiry 2026-08-10T22:28:03.170806Z
2026-08-11 05:28:20,773 [canton-env-ec-89] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2026-08-11 05:28:20,773 [canton-env-ec-83] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 05:28:20,834 [canton-env-ec-110] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::12209834d168... subscribes from counter=36
2026-08-11 05:28:20,996 [canton-env-ec-90] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2026-08-11 05:28:20,996 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 05:28:21,056 [canton-env-ec-82] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::12209834d168... subscribes from counter=35
2026-08-11 05:28:23,153 [canton-env-ec-83] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::12209834d168 - The sequencer subscription has been terminated by the server.
2026-08-11 05:28:23,154 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::12209834d168 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 05:28:23,219 [canton-env-ec-83] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::12206722ea2b... subscribes from counter=55
2026-08-11 06:04:20,444 [daml.index.db.threadpool.connection.indexer-16] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-10T22:00:00Z)
2026-08-11 06:04:20,445 [daml.index.db.threadpool.connection.indexer-16] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-10T22:00:00Z)
2026-08-11 06:27:40,819 [canton-env-ec-82] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::12209834d168... authenticated new token with expiry 2026-08-10T23:27:40.818830Z
2026-08-11 06:27:41,041 [canton-env-ec-86] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::12209834d168... authenticated new token with expiry 2026-08-10T23:27:41.041196Z
2026-08-11 06:27:43,197 [canton-env-ec-86] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::12206722ea2b... authenticated new token with expiry 2026-08-10T23:27:43.197147Z
2026-08-11 06:28:00,807 [canton-env-ec-82] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2026-08-11 06:28:00,808 [canton-env-ec-98] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 06:28:00,874 [canton-env-ec-82] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::12209834d168... subscribes from counter=36
2026-08-11 06:28:01,031 [canton-env-ec-99] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2026-08-11 06:28:01,032 [canton-env-ec-83] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 06:28:01,093 [canton-env-ec-83] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::12209834d168... subscribes from counter=35
2026-08-11 06:28:03,182 [canton-env-ec-32] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::12209834d168 - The sequencer subscription has been terminated by the server.
2026-08-11 06:28:03,182 [canton-env-ec-89] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::12209834d168 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 06:28:03,243 [canton-env-ec-32] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::12206722ea2b... subscribes from counter=55
